Method,Stable_N,Stable_RMSE,Stable_MAE,Stable_MAPE,Ramp_N,Ramp_RMSE,Ramp_MAE,Ramp_MAPE,Ramp_RMSE_Imp_vs_StaticEN,Ramp_MAE_Imp_vs_StaticEN
Seasonal naive,7305,3353.82624549833,2364.67623627107,9.28995056595033,8766,3478.24674619201,2317.05110182854,7.64221774543053,-1114.52884927422,-981.915148236711
Ridge,7155,337.237444140954,254.906274359601,1.04637767689046,8586,288.416026028363,216.134002498951,0.76839348218998,-0.708664383275473,-0.920800222363952
LASSO,7155,336.658228374486,253.069409866241,1.03970640867575,8586,286.521278574016,214.351698918387,0.76334839683299,-0.0470593812976674,-0.0885780754087301
Static EN,7155,336.79049768079,253.263860762864,1.04049764496124,8586,286.38650685577,214.161998341999,0.762752110541798,0,0
VA-REN,7155,336.572917022931,253.29750083867,1.04063949547519,8586,286.372680431442,214.111116548375,0.762475247244236,0.00482788958141856,0.023758553813337
