Method,N,MSFE,RMSE,MAE,MAPE,RMSE_Imp_vs_StaticEN,MAE_Imp_vs_StaticEN
Seasonal naive,35063,7413243.73837329,2722.72726110665,1749.49809138391,6.57727567509671,-857.280011067819,-737.814479684954
Ridge,34343,81671.1979749979,285.781731352789,210.235959203067,0.844296556118551,-0.477614067442726,-0.679578696455477
LASSO,34343,80916.6804093752,284.458574153382,208.85861640321,0.839424838109556,-0.0124070095832702,-0.0199850982155687
Static EN,34343,80896.6054649171,284.423285729065,208.816884143823,0.839305320153596,0,0
VA-REN,34343,80869.1030239948,284.374933888335,208.810891754145,0.839236775113653,0.0169999585673049,0.00286968637756944
