"channel","lambda","y","xhat","Jhat","score"
"Gaussian",0,-3.692,-0.943134596094151,-2.88626919218829,-0.943134596094151
"Gaussian",0,-3.688,-0.943056104537423,-2.88611220907483,-0.943056104537423
"Gaussian",0,-3.684,-0.942977404436603,-2.8859548088732,-0.942977404436603
"Gaussian",0,-3.68,-0.942898494988309,-2.88579698997661,-0.942898494988309
"Gaussian",0,-3.676,-0.94281937538516,-2.88563875077029,-0.94281937538516
"Gaussian",0,-3.672,-0.942740044815781,-2.88548008963155,-0.942740044815781
"Gaussian",0,-3.668,-0.942660502464767,-2.88532100492951,-0.942660502464767
"Gaussian",0,-3.664,-0.942580747512599,-2.88516149502517,-0.942580747512599
"Gaussian",0,-3.66,-0.94250077913575,-2.88500155827149,-0.94250077913575
"Gaussian",0,-3.656,-0.942420596506515,-2.884841193013,-0.942420596506515
"Gaussian",0,-3.652,-0.942340198793083,-2.88468039758616,-0.942340198793083
"Gaussian",0,-3.648,-0.942259585159499,-2.88451917031899,-0.942259585159499
"Gaussian",0,-3.644,-0.942178754765596,-2.88435750953118,-0.942178754765596
"Gaussian",0,-3.64,-0.942097706767017,-2.88419541353402,-0.942097706767017
"Gaussian",0,-3.636,-0.942016440315134,-2.88403288063026,-0.942016440315134
"Gaussian",0,-3.632,-0.941934954557106,-2.88386990911421,-0.941934954557106
"Gaussian",0,-3.628,-0.94185324863577,-2.88370649727153,-0.94185324863577
"Gaussian",0,-3.624,-0.94177132168966,-2.88354264337931,-0.94177132168966
"Gaussian",0,-3.62,-0.941689172852987,-2.88337834570595,-0.941689172852987
"Gaussian",0,-3.616,-0.941606801255563,-2.88321360251111,-0.941606801255563
"Gaussian",0,-3.612,-0.941524206022828,-2.88304841204566,-0.941524206022828
"Gaussian",0,-3.608,-0.941441386275811,-2.88288277255161,-0.941441386275811
"Gaussian",0,-3.604,-0.941358341131087,-2.88271668226218,-0.941358341131087
"Gaussian",0,-3.6,-0.941275069700735,-2.88255013940146,-0.941275069700735
"Gaussian",0,-3.596,-0.941191571092378,-2.88238314218476,-0.941191571092378
"Gaussian",0,-3.592,-0.941107844409083,-2.88221568881816,-0.941107844409083
"Gaussian",0,-3.588,-0.941023888749364,-2.88204777749871,-0.941023888749364
"Gaussian",0,-3.584,-0.940939703207151,-2.88187940641428,-0.940939703207151
"Gaussian",0,-3.58,-0.940855286871774,-2.88171057374353,-0.940855286871774
"Gaussian",0,-3.576,-0.940770638827905,-2.88154127765579,-0.940770638827905
"Gaussian",0,-3.572,-0.940685758155571,-2.88137151631113,-0.940685758155571
"Gaussian",0,-3.568,-0.940600643930079,-2.88120128786014,-0.940600643930079
"Gaussian",0,-3.564,-0.940515295222021,-2.88103059044402,-0.940515295222021
"Gaussian",0,-3.56,-0.940429711097241,-2.88085942219447,-0.940429711097241
"Gaussian",0,-3.556,-0.940343890616796,-2.88068778123359,-0.940343890616796
"Gaussian",0,-3.552,-0.940257832836914,-2.88051566567382,-0.940257832836914
"Gaussian",0,-3.548,-0.940171536809002,-2.88034307361799,-0.940171536809002
"Gaussian",0,-3.544,-0.940085001579575,-2.88017000315915,-0.940085001579575
"Gaussian",0,-3.54,-0.939998226190257,-2.8799964523805,-0.939998226190257
"Gaussian",0,-3.536,-0.939911209677735,-2.87982241935546,-0.939911209677735
"Gaussian",0,-3.532,-0.939823951073729,-2.87964790214743,-0.939823951073729
"Gaussian",0,-3.528,-0.939736449404971,-2.87947289880993,-0.939736449404971
"Gaussian",0,-3.524,-0.939648703693161,-2.8792974073863,-0.939648703693161
"Gaussian",0,-3.52,-0.939560712954925,-2.87912142590984,-0.939560712954925
"Gaussian",0,-3.516,-0.939472476201853,-2.8789449524037,-0.939472476201853
"Gaussian",0,-3.512,-0.939383992440354,-2.8787679848807,-0.939383992440354
"Gaussian",0,-3.508,-0.93929526067172,-2.87859052134344,-0.93929526067172
"Gaussian",0,-3.504,-0.93920627989205,-2.87841255978408,-0.93920627989205
"Gaussian",0,-3.5,-0.939117049092232,-2.87823409818446,-0.939117049092232
"Gaussian",0,-3.496,-0.939027567257885,-2.87805513451577,-0.939027567257885
"Gaussian",0,-3.492,-0.938937833369358,-2.87787566673871,-0.938937833369358
"Gaussian",0,-3.488,-0.938847846401706,-2.87769569280339,-0.938847846401706
"Gaussian",0,-3.484,-0.938757605324606,-2.87751521064921,-0.938757605324606
