"sigma","index","singular_value","normalized_singular_value"
0.1,141,1.79545872990675e-17,8.76944971099714e-18
0.1,142,1.67101153892811e-17,8.16161987632383e-18
0.1,143,1.55071737193895e-17,7.57407440375675e-18
0.1,144,1.52011968400303e-17,7.42462798031219e-18
0.1,145,1.46095579785148e-17,7.13565741492354e-18
0.1,146,1.3343089640383e-17,6.51708399873623e-18
0.1,147,1.26088168720569e-17,6.15844762304383e-18
0.1,148,1.03689192522145e-17,5.064428072062e-18
0.1,149,1.01385071980917e-17,4.95188931593349e-18
0.1,150,8.43460931850271e-18,4.11966485324668e-18
0.1,151,7.19603350887605e-18,3.51471481486052e-18
0.1,152,6.37616474295477e-18,3.11427130743791e-18
0.1,153,5.68911090878223e-18,2.77869778813809e-18
0.1,154,5.18475186365006e-18,2.53235677183398e-18
0.1,155,4.27956979530092e-18,2.09024420775982e-18
0.1,156,3.2321062484284e-18,1.57863796778356e-18
0.1,157,3.02013905112024e-18,1.47510812071927e-18
0.1,158,2.89370862336003e-18,1.41335647699085e-18
0.1,159,2.17405131877673e-18,1.06185864322984e-18
0.1,160,1.96984078777268e-18,9.6211733744171e-19
0.1,161,1.56567175204808e-18,7.64711517163502e-19
0.1,162,1.40931469717676e-18,6.88342993241772e-19
0.1,163,1.1672759779756e-18,5.70125495908428e-19
0.1,164,7.9123137598714e-19,3.86456321490758e-19
0.1,165,6.51970159093776e-19,3.18437813579855e-19
0.1,166,6.23435053465897e-19,3.04500585748688e-19
0.1,167,4.68693889511474e-19,2.28921301584916e-19
0.1,168,3.80444805695562e-19,1.85818339112177e-19
0.1,169,2.94244412320788e-19,1.43716006032791e-19
0.1,170,1.76136134823104e-19,8.60290994658982e-20
0.1,171,1.57639099811877e-19,7.69947053229631e-20
0.1,172,1.06761760938388e-19,5.21449965967929e-20
0.1,173,7.88394454531481e-20,3.8507070122419e-20
0.1,174,7.43374170534917e-20,3.63081718135552e-20
0.1,175,6.50193367239717e-20,3.17569985957223e-20
0.1,176,6.06519856910931e-20,2.96238799327782e-20
0.1,177,4.69022674542146e-20,2.29081888054779e-20
0.1,178,2.89177578717108e-20,1.41241243358421e-20
0.1,179,2.37824107015879e-20,1.16158979975378e-20
0.1,180,1.91233473688316e-20,9.34030007281806e-21
0.1,181,1.32704064541241e-20,6.48158379279356e-21
0.1,182,9.31400536293851e-21,4.54918290672653e-21
0.1,183,7.68507004610407e-21,3.75357195196018e-21
0.1,184,6.57047711426718e-21,3.2091781153787e-21
0.1,185,3.81251113799869e-21,1.86212159268247e-21
0.1,186,3.38993631037809e-21,1.65572594358033e-21
0.1,187,2.33368616255353e-21,1.13982811762128e-21
0.1,188,1.72124965254855e-21,8.40699483461798e-22
0.1,189,1.25983502501371e-21,6.15333547465297e-22
0.1,190,1.1916665435327e-21,5.82038431277706e-22
0.1,191,5.87819939539664e-22,2.87105312589513e-22
0.1,192,4.74081308079784e-22,2.3155264562084e-22
0.1,193,2.71263798659855e-22,1.32491724879981e-22
0.1,194,2.32388689967089e-22,1.13504192333997e-22
0.1,195,1.48854179783394e-22,7.27039403434242e-23
0.1,196,1.38399325154725e-22,6.75975393788829e-23
0.1,197,6.37538360828458e-23,3.11388978258893e-23
0.1,198,4.37530901091526e-23,2.1370055296836e-23
0.1,199,3.15177970627457e-23,1.53940456407771e-23
0.1,200,1.6550748746469e-23,8.08378139769591e-24
0.1,201,1.17116457385748e-23,5.72024779109126e-24
0.1,202,6.22180954292637e-24,3.03888053728357e-24
0.1,203,4.41457271821324e-24,2.15618286307932e-24
0.1,204,4.13370108581431e-24,2.0189984424886e-24
0.1,205,1.96202178420867e-24,9.58298349157405e-25
0.1,206,8.48953493586971e-25,4.1464918379789e-25
0.1,207,3.9927669336353e-25,1.95016283298618e-25
0.1,208,1.72781952964588e-25,8.4390836851456e-26
0.1,209,7.07893652892454e-26,3.45752185019417e-26
0.1,210,3.67709786387906e-26,1.79598251202228e-26
0.1,211,1.36843145338569e-26,6.68374639501509e-27
0.1,212,5.287847799907e-27,2.58271129201058e-27
0.1,213,2.31538258100113e-27,1.1308882107729e-27
0.1,214,1.08073220110565e-27,5.27855446120085e-28
0.1,215,3.58612790421105e-28,1.75155060873027e-28
0.1,216,1.59962383488592e-28,7.81294526177892e-29
0.1,217,6.65216227548998e-29,3.2490751011209e-29
0.1,218,2.1332790526209e-29,1.04194449361998e-29
0.1,219,8.2557405518305e-30,4.0323010710515e-30
0.1,220,2.89348214876385e-30,1.41324586138331e-30
0.1,221,1.30221248887781e-30,6.36031714014362e-31
0.1,222,6.54043490025341e-31,3.19450477977859e-31
0.1,223,3.256729816638e-31,1.59066470721916e-31
0.1,224,8.19213260921378e-32,4.00123343108262e-32
0.1,225,5.37763533161705e-32,2.62656566921739e-32
