"required_revenue","lambda","achieved_revenue","welfare","efficiency","build_probability","channel","epsilon"
0,0,0.0591902831496768,100.045312468203,1,1,"Laplace",1
0.0115410061513952,0,0.0591902831496768,100.045312468203,1,1,"Laplace",1
0.0230820123027903,0,0.0591902831496768,100.045312468203,1,1,"Laplace",1
0.0346230184541855,0,0.0591902831496768,100.045312468203,1,1,"Laplace",1
0.0461640246055807,0,0.0591902831496768,100.045312468203,1,1,"Laplace",1
0.0577050307569759,0,0.0591902831496768,100.045312468203,1,1,"Laplace",1
0.069246036908371,11.7031025018168,0.0696421577035202,99.9289271334388,0.998836673784178,0.9988,"Laplace",1
0.0807870430597662,12.9204370970773,0.0810235297397449,99.7869558405097,0.99741760387049,0.99735,"Laplace",1
0.0923280492111614,13.9399243947872,0.0925914431428465,99.6316423517442,0.995865172427839,0.99575,"Laplace",1
0.103869055362557,14.7916018748489,0.10412366324522,99.463627000725,0.994185779891856,0.99405,"Laplace",1
0.115410061513952,15.3669621690612,0.115501564910023,99.290493766121,0.992455231699915,0.9923,"Laplace",1
0.126951067665347,15.8332516054948,0.127112042067982,99.1077769427786,0.990628891026528,0.99045,"Laplace",1
0.138492073816742,16.2668063637519,0.138712738304357,98.9201448877868,0.988753420298687,0.98855,"Laplace",1
0.150033079968137,16.6970620184133,0.150298787764382,98.7281762474744,0.986834603358879,0.9866,"Laplace",1
0.161574086119532,17.1781564193523,0.161577862092952,98.5369531542533,0.984923238513256,0.98465,"Laplace",1
0.173115092270928,17.7504344173068,0.173343242383302,98.3268015805747,0.982822674593828,0.98255,"Laplace",1
0.184656098422323,18.182360406751,0.184809928389312,98.1202211394939,0.980757805826024,0.98045,"Laplace",1
0.196197104573718,18.6166977124279,0.196285584657533,97.9115382702537,0.978671922298932,0.9783,"Laplace",1
0.207738110725113,19.0894097700513,0.207741049278077,97.6965146689563,0.976522660169677,0.9761,"Laplace",1
0.219279116876508,19.4213146111762,0.219491066740033,97.4709330388866,0.974267865572064,0.9738,"Laplace",1
0.230820123027903,19.8678084046764,0.230996035494363,97.2443292523004,0.972002854038833,0.9715,"Laplace",1
0.242361129179299,20.2714123615311,0.242498424009582,97.0102774115628,0.969663395697775,0.96915,"Laplace",1
0.253902135330694,20.6597662855903,0.254021452013975,96.7746682963609,0.967308371665272,0.96675,"Laplace",1
0.265443141482089,21.0245962637036,0.265580575354334,96.5347631329691,0.964910406608507,0.9643,"Laplace",1
0.276984147633484,21.3252637655795,0.277206907790667,96.2884101707441,0.962447992766747,0.961799999999999,"Laplace",1
0.288525153784879,21.7087937916469,0.288657724234065,96.0421015828486,0.959986022467301,0.959299999999999,"Laplace",1
0.300066159936275,22.129368900186,0.30012983872415,95.7866937940146,0.957433101370521,0.956749999999999,"Laplace",1
0.31160716608767,22.4769214158959,0.311608963394865,95.5312733671433,0.954880053950608,0.954149999999999,"Laplace",1
0.323148172239065,22.9017368931521,0.323320514313009,95.2650140542567,0.952218666761966,0.951449999999999,"Laplace",1
0.33468917839046,23.3154916141879,0.33482961742775,94.995761848407,0.949527364199087,0.948749999999999,"Laplace",1
0.346230184541855,23.6471244325198,0.346371812009785,94.7237957801504,0.94680893530375,0.945999999999999,"Laplace",1
0.35777119069325,24.1079488419564,0.357937868653195,94.4479299124784,0.944051526077209,0.943199999999999,"Laplace",1
0.369312196844646,24.5476679499226,0.369492760358235,94.1626652390358,0.941200171361982,0.940349999999999,"Laplace",1
0.380853202996041,24.9291647474213,0.381047753708952,93.876180535899,0.938336621875563,0.937449999999999,"Laplace",1
0.392394209147436,25.1934230783416,0.392470321814827,93.5892378541976,0.935468494677774,0.934549999999999,"Laplace",1
0.403935215298831,25.5215730077915,0.40395134131144,93.2997080422266,0.932574507894905,0.931599999999999,"Laplace",1
0.415476221450226,25.9143516928575,0.415659698490979,92.9959521438245,0.929538324680438,0.92855,"Laplace",1
0.427017227601621,26.3454113324504,0.427179287922446,92.6923090213761,0.926503268714723,0.9255,"Laplace",1
0.438558233753017,26.7461080074178,0.438706201148672,92.3850560374726,0.923432130484223,0.9224,"Laplace",1
0.450099239904412,27.2290224768622,0.450230889455009,92.0750695284295,0.920333669382993,0.919250000000001,"Laplace",1
