"x","T_target","T_implemented","sigma"
0,0,-2.73690649371337e-09,0.1
0.00278551532033426,3.26225885822345e-07,3.24772595120337e-07,0.1
0.00557103064066852,1.31848247695698e-06,1.31794673365522e-06,0.1
0.00835654596100279,2.99504862690935e-06,2.99513449966854e-06,0.1
0.011142061281337,5.37440560588638e-06,5.37487854721901e-06,0.1
0.0139275766016713,8.47523002746927e-06,8.4759087457155e-06,0.1
0.0167130919220056,1.23163864277935e-05,1.23171353745232e-05,0.1
0.0194986072423398,1.69169195004901e-05,1.69176419614051e-05,0.1
0.0222841225626741,2.2296045991417e-05,2.2296677766757e-05,0.1
0.0250696378830084,2.84731462580276e-05,2.84736499164881e-05,0.1
0.0278551532033426,3.54677554989299e-05,3.54681151873126e-05,0.1
0.0306406685236769,4.32995546600055e-05,4.32997714491472e-05,0.1
0.0334261838440111,5.19883610244232e-05,5.19884487702473e-05,0.1
0.0362116991643454,6.15541184942649e-05,6.15541001916601e-05,0.1
0.0389972144846797,7.2016887572756e-05,7.2016792178529e-05,0.1
0.0417827298050139,8.33968350565407e-05,8.33966947567318e-05,0.1
0.0445682451253482,9.57142234484162e-05,9.57140713442907e-05,0.1
0.0473537604456825,0.000108989400101664,0.000108989268287936,0.1
0.0501392757660167,0.00012324278610772,0.000123242704116139,0.1
0.052924791086351,0.000138494864940025,0.000138494858520862,0.1
0.0557103064066852,0.000154766170867422,0.000154766261081172,0.1
0.0584958217270195,0.000172077277151,0.000172077479742752,0.1
0.0612813370473538,0.000190448784039492,0.000190449109068219,0.1
0.064066852367688,0.00020990130657848,0.000209901758273974,0.1
0.0668523676880223,0.000230455462249576,0.000230456039070143,0.1
0.0696378830083565,0.000252131858456586,0.000252132553320907,0.1
0.0724233983286908,0.000274951079875511,0.000274951880543281,0.1
0.0752089136490251,0.000298933675686792,0.000298934565263072,0.1
0.0779944289693593,0.000324100146707973,0.000324101104247421,0.1
0.0807799442896936,0.000350470932445626,0.000350471933633903,0.1
0.0835654596100279,0.000378066398086227,0.000378067415976743,0.1
0.0863509749303621,0.000406906821445153,0.000406907827231177,0.1
0.0891364902506964,0.000437012379894755,0.000437013343697455,0.1
0.0919220055710306,0.000468403137290956,0.000468404028946358,0.1
0.0947075208913649,0.000501099030920001,0.000501099820748413,0.1
0.0974930362116992,0.000535119858485603,0.0005351205180293,0.1
0.100278551532033,0.000570485265157961,0.000570485767874086,0.1
0.103064066852368,0.000607214730705387,0.000607215052603131,0.1
0.105849582172702,0.000645327556730621,0.000645327676942498,0.1
0.108635097493036,0.000684842854031954,0.000684842755311808,0.1
0.11142061281337,0.000725779530111527,0.000725779199252317,0.1
0.114206128133705,0.000768156276851041,0.000768155705017954,0.1
0.116991643454039,0.00081199155837626,0.000811990741351791,0.1
0.119777158774373,0.000857303599131137,0.000857302537470223,0.1
0.122562674094708,0.000904110372181487,0.000904109071276748,0.1
0.125348189415042,0.000952429587769345,0.000952428057826888,0.1
0.128133704735376,0.00100227868213637,0.0010022769380653,0.1
0.13091922005571,0.00105367480663727,0.00105367286785568,0.1
0.133704735376045,0.00110663481716083,0.00110663270732329,0.1
0.136490250696379,0.00116117526387726,0.00116117301052966,0.1
0.139275766016713,0.00121731238133005,0.00121731001549784,0.1
0.142061281337047,0.00127506207888851,0.00127505963460627,0.1
0.144846796657382,0.0013344399315785,0.00133443744536824,0.1
0.147632311977716,0.001395461171306,0.0013954586816132,0.1
0.15041782729805,0.00145814067848886,0.00145813822508521,0.1
0.153203342618384,0.00152249297411124,0.00152249059747292,0.1
0.155988857938719,0.00158853221221292,0.00158852995288444,0.1
0.158774373259053,0.00165627217282681,0.0016562700707796,0.1
0.161559888579387,0.00172572625537573,0.00172572434937064,0.1
0.164345403899721,0.00179690747253819,0.00179690579950193,0.1
0.167130919220056,0.00186982844459356,0.00186982703901755,0.1
0.16991643454039,0.00194450139425519,0.00194450028762495,0.1
0.172701949860724,0.00202093814199686,0.00202093736226135,0.1
0.175487465181058,0.00209915010188215,0.00209914967296885,0.1
0.178272980501393,0.00217914827789838,0.00217914821928256,0.1
0.181058495821727,0.00226094326080228,0.00226094358713522,0.1
0.183844011142061,0.00234454522547829,0.0023445459462806,0.1
0.186629526462396,0.00242996392881256,0.00242996504823655,0.1
0.18941504178273,0.00251720870808324,0.0025172102247477,0.1
0.192200557103064,0.00260628847986556,0.00260629038676658,0.1
0.194986072423398,0.00269721173945334,0.00269721402395054,0.1
0.197771587743733,0.00278998656078996,0.0027899892046713,0.1
0.200557103064067,0.00288462059690953,0.00288462357653212,0.1
0.203342618384401,0.00298112108088018,0.00298112436738729,0.1
0.206128133704735,0.00307949482724627,0.00307949838685694,0.1
0.20891364902507,0.00317974823396054,0.00317975202832957,0.1
0.211699164345404,0.00328188728480004,0.00328189127144351,0.1
0.214484679665738,0.00338591755225656,0.00338592168503782,0.1
0.217270194986072,0.0034918442008903,0.00349184843056187,0.1
0.220055710306407,0.00359967199113946,0.00359967626593231,0.1
0.222841225626741,0.00370940528357007,0.00370940954982523,0.1
0.225626740947075,0.00382104804355705,0.00382105224639041,0.1
0.228412256267409,0.00393460384638097,0.00393460793037403,0.1
0.231197771587744,0.00405007588272731,0.0040500797926353,0.1
0.233983286908078,0.00416746696457393,0.00416747064604216,0.1
0.236768802228412,0.00428677953145055,0.00428678293173025,0.1
0.239554317548747,0.00440801565705398,0.00440801872570907,0.1
0.242339832869081,0.00453117705620332,0.00453117974579873,0.1
0.245125348189415,0.0046562650921171,0.0046562673588801,0.1
0.247910863509749,0.0047832807839949,0.00478328258844108,0.1
0.250696378830084,0.00491222481488574,0.00491222612240097,0.1
0.253481894150418,0.0050430975398239,0.00504309832119515,0.1
0.256267409470752,0.00517589899421385,0.00517589922610156,0.1
0.259052924791086,0.00531062890244502,0.00531062856779048,0.1
0.261838440111421,0.00544728668671804,0.00544728577507923,0.1
0.264623955431755,0.00558587147606023,0.00558586998387273,0.1
0.267409470752089,0.00572638211551395,0.00572638004627149,0.1
0.270194986072423,0.00586881717547696,0.00586881453982793,0.1
0.272980501392758,0.0060131749611734,0.00601317177693267,0.1
0.275766016713092,0.00615945352223865,0.00615944981431184,0.1
0.278551532033426,0.00630765066239644,0.00630764646261696,0.1
0.28133704735376,0.00645776394920969,0.00645775929608926,0.1
0.284122562674095,0.00660979072388632,0.00660978566227987,0.1
0.286908077994429,0.00676372811111878,0.00676372269180832,0.1
0.289693593314763,0.00691957302894272,0.00691956730814141,0.1
0.292479108635098,0.0070773221985915,0.00707731623737521,0.1
0.295264623955432,0.00723697215433389,0.00723696601800315,0.1
0.298050139275766,0.0073985192532714,0.00739851301065334,0.1
0.3008356545961,0.00756195968508458,0.00756195340777899,0.1
0.303621169916435,0.00772728948170626,0.00772728324328587,0.1
0.306406685236769,0.00789450452690829,0.00789449840208138,0.1
0.309192200557103,0.00806360056578542,0.00806359462953016,0.1
0.311977715877437,0.00823457321412224,0.00823456754080158,0.1
0.314763231197772,0.0084074179676269,0.0084074126300952,0.1
0.317548746518106,0.00858213021101886,0.00858212527973035,0.1
0.32033426183844,0.0087587052269586,0.00875870076908692,0.1
0.323119777158774,0.00893713820480366,0.00893713428338472,0.1
0.325905292479109,0.00911742424918216,0.00911742092228938,0.1
0.328690807799443,0.00929955838837088,0.00929955570833338,0.1
0.331476323119777,0.00948353558246753,0.00948353359514122,0.1
0.334261838440111,0.00966935073134809,0.00966934947544843,0.1
0.337047353760446,0.00985699868239817,0.00985699818890453,0.1
0.33983286908078,0.0100464742380133,0.010046474529651,0.1
0.342618384401114,0.0102377721628553,0.0102377732536655,0.1
0.345403899721448,0.0104308871908624,0.0104308890858638,0.1
0.348189415041783,0.0106258140320047,0.0106258167269533,0.1
0.350974930362117,0.0108225473787769,0.01082255086003,0.1
0.353760445682451,0.0110210819124281,0.0110210861569126,0.1
0.356545961002786,0.0112214123089196,0.0112214172842097,0.1
0.35933147632312,0.0114235332446078,0.0114235389091132,0.1
0.362116991643454,0.0116274394016524,0.0116274457049136,0.1
0.364902506963788,0.0118331254731418,0.0118331323562346,0.1
0.367688022284123,0.0120405861679362,0.0120405935639822,0.1
0.370473537604457,0.0122498162152292,0.0122498240500063,0.1
0.373259052924791,0.012460810368822,0.0124608185614714,0.1
0.376044568245125,0.0126735634111132,0.0126735718749368,0.1
0.37883008356546,0.0128880701568022,0.0128880788001427,0.1
0.381615598885794,0.013104325456309,0.013104334183503,0.1
0.384401114206128,0.0133223241989076,0.0133223329113044,0.1
0.387186629526462,0.0135420613155781,0.0135420699126112,0.1
0.389972144846797,0.0137635317815744,0.0137635401618786,0.1
0.392757660167131,0.0139867306187162,0.0139867386812729,0.1
0.395543175487465,0.0142116528974,0.0142116605427027,0.1
0.398328690807799,0.0144382937383361,0.0144383008695622,0.1
0.401114206128134,0.0146666483140148,0.0146666548381886,0.1
0.403899721448468,0.0148967118499004,0.0148967176790374,0.1
0.406685236768802,0.0151284796253633,0.0151284846775779,0.1
0.409470752089136,0.0153619469743446,0.0153619511749134,0.1
0.412256267409471,0.015597109285766,0.0155971125681284,0.1
0.415041782729805,0.0158339620036798,0.0158339643103684,0.1
0.417827298050139,0.0160725006271721,0.0160725019106554,0.1
0.420612813370474,0.0163127207100119,0.0163127209334448,0.1
0.423398328690808,0.0165546178600613,0.0165546169979263,0.1
0.426183844011142,0.0167981877384425,0.0167981857770764,0.1
0.428969359331476,0.017043426058467,0.0170434229964649,0.1
0.431754874651811,0.017290328584335,0.0172903244328221,0.1
0.434540389972145,0.017538891129603,0.0175388859123703,0.1
0.437325905292479,0.0177891095554273,0.0177891033089266,0.1
0.440111420612813,0.0180409797685846,0.0180409725417795,0.1
0.442896935933148,0.018294497719274,0.0182944895733473,0.1
0.445682451253482,0.0185496593987049,0.0185496504066199,0.1
0.448467966573816,0.0188064608364719,0.0188064510823923,0.1
0.45125348189415,0.0190648980977211,0.0190648876762914,0.1
0.454038997214485,0.0193249672801093,0.0193249562956028,0.1
0.456824512534819,0.0195866645105624,0.0195866530759008,0.1
0.459610027855153,0.0198499859418306,0.0198499741774861,0.1
0.462395543175487,0.0201149277488464,0.020114915781635,0.1
0.465181058495822,0.0203814861248857,0.0203814740866642,0.1
0.467966573816156,0.0206496572775356,0.0206496453038132,0.1
