"n","sigma","replications","accept_count","acceptance","acceptance_smoothed","acc_low","acc_high","I_hat","finite_n_rate","predicted_probability"
20,0.2,30000,9173,0.305766666666667,0.305773140895303,0.300578238581668,0.311004831006447,0.00627862496115036,0.0592455910801654,0.88199181838751
40,0.2,30000,7025,0.234166666666667,0.234175527482417,0.229408884229614,0.238992519574267,0.00627862496115036,0.0362921081843922,0.777909567702506
60,0.2,30000,5619,0.1873,0.1873104229859,0.18292523056442,0.191754840794101,0.00627862496115036,0.0279164670410627,0.686109874158975
80,0.2,30000,4730,0.157666666666667,0.15767807739742,0.153586710289682,0.161834282445849,0.00627862496115036,0.0230899976159698,0.6051432955231
120,0.2,30000,3164,0.105466666666667,0.105479817339422,0.102041326662624,0.108993032638033,0.00627862496115036,0.018743630410056,0.470746759418445
160,0.2,30000,2360,0.0786666666666667,0.0786807106429786,0.0756738981582394,0.081767323670106,0.00627862496115036,0.0158897328339734,0.366198408116558
20,0.3,30000,8833,0.294433333333333,0.294440185327156,0.289302287943892,0.299617017041504,0.00706155712527518,0.0611339701184674,0.868288590100699
40,0.3,30000,6833,0.227766666666667,0.22777574080864,0.223055925682617,0.232547116933846,0.00706155712527518,0.0369848431754307,0.75392507569906
60,0.3,30000,5267,0.175566666666667,0.175577480750642,0.171303149833211,0.179913259348378,0.00706155712527518,0.028994580795729,0.6546245410203
80,0.3,30000,4294,0.143133333333333,0.143145228492384,0.139216101590732,0.147141945948372,0.00706155712527518,0.0242986947526975,0.568403019767833
120,0.3,30000,2727,0.0909,0.0909136362121263,0.0876992306768524,0.0942055252961921,0.00706155712527518,0.0199820439642905,0.428533289706038
160,0.3,30000,1998,0.0666,0.0666144461851272,0.0638337643223452,0.0694772140172233,0.00706155712527518,0.0169302113454419,0.323081992881192
20,0.4,30000,8544,0.2848,0.28480717309423,0.279720742227799,0.289934362845286,0.00820304149884615,0.062797145666756,0.848690394492864
40,0.4,30000,6168,0.2056,0.205609813006233,0.20106464652391,0.210210738854883,0.00820304149884615,0.0395443754477641,0.720275385704454
60,0.4,30000,4734,0.1578,0.157811406286457,0.153718610118036,0.161969015142232,0.00820304149884615,0.0307725764999755,0.611290801237013
80,0.4,30000,3604,0.120133333333333,0.120145995133496,0.116502900579679,0.123861036442143,0.00820304149884615,0.0264880956197181,0.5187966312517
120,0.4,30000,2246,0.0748666666666667,0.0748808373054232,0.0719427277017932,0.077899467171523,0.00820304149884615,0.0215988105409322,0.373676443676989
160,0.4,30000,1495,0.0498333333333333,0.0498483383887204,0.0474281162444592,0.0523538221093228,0.00820304149884615,0.0187423132209505,0.269149944598112
