"n","Rplus_oracle","Rplus_oracle_se","Rplus_hier","Rplus_hier_se","relative_gap","relative_gap_se","relative_gap_lower","relative_gap_upper","theta_posterior_sd","theta_posterior_sd_se","theta_posterior_mean","theta_posterior_bias","allocation_agreement"
25,7.57836678352872,0.0336882398374982,7.23778068190763,0.0190892471015676,0.0449418867349272,0.00299443302071799,0.03907279801432,0.0508109754555345,0.17796821368206,0.000269845231870254,1.50983862423564,0.00983862423564141,1
50,15.0414637564003,0.0471741691402578,14.5443543213789,0.0242221318467706,0.0330492725357177,0.0025499805392831,0.0280513106787229,0.0380472343927126,0.138348401712896,0.000101131425859243,1.5065932115577,0.00659321155770431,1
100,29.9107516393271,0.0648004301886576,29.4880985150156,0.0326649637621555,0.0141304748676316,0.00189186907308126,0.0104224114843924,0.0178385382508709,0.0999624448695001,3.12886787586402e-05,1.49994965510874,-5.03448912612114e-05,1
200,60.1916465918793,0.091051441998957,59.5742191666039,0.0457770093828274,0.0102576928898761,0.00132218128669401,0.00766621756795589,0.0128491682117964,0.0705770173707182,1.60393584160222e-05,1.50256857662476,0.00256857662475518,1
400,120.223509618273,0.131112125498806,119.678405147065,0.0635647716004476,0.00453409215001491,0.000960957267754197,0.00265061590521669,0.00641756839481314,0.0498222817645239,8.07125175622014e-06,1.50082602607103,0.000826026071033326,1
800,240.460734221888,0.189058201575916,239.928395948901,0.09120461243471,0.00221382619790044,0.000685120785668931,0.00087098945798934,0.00355666293781155,0.0351997281849795,4.01498298568969e-06,1.50039825860933,0.000398258609331847,1
