"sigma","sigma2","mean_score","sd_score","t_hat","I_hat","I_se"
0.2,0.04,-0.24568481637597,2.19404772871469,0.0511831558159484,0.00627862496115036,0.000144722790837126
0.3,0.09,-0.245885841987686,2.07073254477975,0.0575293837752974,0.00706155712527518,0.000153483538589017
0.4,0.16,-0.246193157156918,1.92386102270545,0.0667591775781537,0.00820304149884615,0.000165451082040563
0.5,0.25,-0.246542850923508,1.76960794989227,0.0790499670401295,0.00972502864720032,0.000180208966910509
0.6,0.36,-0.246894961535998,1.6208740337263,0.0943959055624581,0.0116271355406175,0.000197151743240873
0.8,0.64,-0.247503290553605,1.3628414059637,0.133951206451208,0.016533747462574,0.000235494778489487
1,1,-0.247953211864181,1.16112184673195,0.184980640316908,0.022866727903461,0.000277644517381578
1.2,1.44,-0.248281437216158,1.00507455082096,0.247317386967452,0.0306055424882252,0.000322283519916501
