"channel","n","lambda","probability","ci_lower","ci_upper","collapse_coordinate","channel_display","population_label"
"Gaussian",50,0.5,0.9678,0.96415642687966,0.971084304244735,-2.45241596808431,"Gaussian","n = 50"
"Gaussian",50,0.55,0.9419,0.937143060209892,0.946317562030104,-2.20717437127588,"Gaussian","n = 50"
"Gaussian",50,0.6,0.9111,0.905362930824676,0.916521345714954,-1.96193277446745,"Gaussian","n = 50"
"Gaussian",50,0.65,0.8692,0.862449340122348,0.875667115480745,-1.71669117765902,"Gaussian","n = 50"
"Gaussian",50,0.7,0.8197,0.812042852952054,0.827111618489736,-1.47144958085058,"Gaussian","n = 50"
"Gaussian",50,0.75,0.7677,0.75932124005697,0.77587316721537,-1.22620798404215,"Gaussian","n = 50"
"Gaussian",50,0.8,0.7115,0.702540210273551,0.720297358415653,-0.980966387233723,"Gaussian","n = 50"
"Gaussian",50,0.85,0.6549,0.6455244320301,0.664156605274664,-0.735724790425292,"Gaussian","n = 50"
"Gaussian",50,0.9,0.5971,0.587451236824098,0.606674190692316,-0.490483193616861,"Gaussian","n = 50"
"Gaussian",50,0.95,0.5472,0.537427674425752,0.556936076128056,-0.24524159680843,"Gaussian","n = 50"
"Gaussian",50,1,0.4959,0.486103965494448,0.505699183292192,0,"Gaussian","n = 50"
"Gaussian",50,1.05,0.45,0.4402703556086,0.459768044228468,0.245241596808431,"Gaussian","n = 50"
"Gaussian",50,1.1,0.4104,0.400795009172248,0.420073803335777,0.490483193616862,"Gaussian","n = 50"
"Gaussian",50,1.15,0.3703,0.360887119028286,0.379812490149067,0.735724790425293,"Gaussian","n = 50"
"Gaussian",50,1.2,0.3309,0.32174411807275,0.340185750176213,0.980966387233724,"Gaussian","n = 50"
"Gaussian",50,1.25,0.3011,0.292186717328219,0.310166037223636,1.22620798404215,"Gaussian","n = 50"
"Gaussian",50,1.3,0.2729,0.264257789775029,0.281716622284932,1.47144958085058,"Gaussian","n = 50"
"Gaussian",50,1.35,0.2468,0.238447919639114,0.255346537135796,1.71669117765902,"Gaussian","n = 50"
"Gaussian",50,1.4,0.2239,0.215836678470503,0.232175365429785,1.96193277446745,"Gaussian","n = 50"
