"n","Rplus_oracle","Rplus_oracle_se","Rplus_hier","Rplus_hier_se","relative_gap","relative_gap_se","relative_gap_lower","relative_gap_upper","theta_posterior_sd","theta_posterior_sd_se","theta_posterior_mean","theta_posterior_bias","allocation_agreement"
25,7.49321488762293,0.0339630924443751,7.23680841567076,0.0184685595666968,0.0342184864303969,0.00305630578482415,0.0282281270921416,0.0402088457686522,0.179331801692818,0.000283220379088668,1.5029191033816,0.00291910338160228,1
50,14.9709098055176,0.0482816120616999,14.5465433357489,0.0244714333597082,0.0283460708321293,0.00263334368146173,0.0231847172164643,0.0335074244477943,0.139589109018894,0.000123257800771578,1.50459953878437,0.00459953878437025,1
100,29.7785213063854,0.0672972401368412,29.430838262334,0.0343805429074479,0.0116756315894327,0.00193279534850425,0.00788735270636441,0.0154639104725011,0.101111260449014,4.64991045137534e-05,1.49918340449563,-0.00081659550437041,1
200,60.0412219571917,0.0950238036213917,59.5126238306899,0.0477596376894821,0.00880392019467353,0.00137018633484653,0.00611835497837434,0.0114894854109727,0.0712892301162544,2.40151111780889e-05,1.50200839583805,0.00200839583804657,1
400,120.23407233665,0.133319133452274,119.600776006462,0.0680659083741504,0.00526719521247686,0.000963749340436425,0.00337824650522146,0.00715614391973225,0.0502812245988569,1.21368876102434e-05,1.50171327991847,0.00171327991847425,1
800,239.894412621717,0.187365082049998,239.498205257557,0.0968239339028536,0.00165159063035225,0.000676707980469708,0.000325242988631622,0.00297793827207288,0.0355185827355051,6.05022010769933e-06,1.50004838443726,4.83844372585196e-05,1
