"axis","channel","epsilon","mu","scale","overflow_rate"
"axis1","Laplace",0.5,0.142210558671649,4,0
"axis1","Logistic",0.5,0.142210558671649,4,0
"axis2","Gaussian",0.5,0.142210558671649,14.0636533509289,0
"axis2","Laplace",0.5,0.142210558671649,3.99983920540674,0
"axis2","Logistic",0.5,0.142210558671649,3.9683853513358,0
"axis3","Gaussian",0.5,0.142210558671649,14.0636533509289,0
"axis3","Laplace",0.5,0.142210558671649,17.1361669593002,0
"axis3","Logistic",0.5,0.142210558671649,8.81105906469098,0
"axis1","Laplace",0.75,0.206161152850488,2.66666666666667,0
"axis1","Logistic",0.75,0.206161152850488,2.66666666666667,0
"axis2","Gaussian",0.75,0.206161152850488,9.70114870016485,0
"axis2","Laplace",0.75,0.206161152850488,2.6665952014454,0
"axis2","Logistic",0.75,0.206161152850488,2.65037981346277,0
"axis3","Gaussian",0.75,0.206161152850488,9.70114870016485,0
"axis3","Laplace",0.75,0.206161152850488,11.6729845559017,0
"axis3","Logistic",0.75,0.206161152850488,6.07635315732173,0
"axis1","Laplace",1,0.268051123211295,2,0
"axis1","Logistic",1,0.268051123211295,2,0
"axis2","Gaussian",1,0.268051123211295,7.46126326963187,0
"axis2","Laplace",1,0.268051123211295,1.99995980054371,0
"axis2","Logistic",1,0.268051123211295,1.98996631357331,0
"axis3","Gaussian",1,0.268051123211295,7.46126326963187,0
"axis3","Laplace",1,0.268051123211295,8.86991804051616,0
"axis3","Logistic",1,0.268051123211295,4.67183175671559,0
"axis1","Laplace",1.5,0.387212130380195,1.33333333333333,0
"axis1","Logistic",1.5,0.387212130380195,1.33333333333333,0
"axis2","Gaussian",1.5,0.387212130380195,5.16512744070349,0
"axis2","Laplace",1.5,0.387212130380195,1.33331546678861,0
"axis2","Logistic",1.5,0.387212130380195,1.32838578827017,0
"axis3","Gaussian",1.5,0.387212130380195,5.16512744070349,0
"axis3","Laplace",1.5,0.387212130380195,6.00011159064085,0
"axis3","Logistic",1.5,0.387212130380195,3.23124814410087,0
"axis1","Laplace",2,0.501551689168231,1,0
"axis1","Logistic",2,0.501551689168231,1,0
"axis2","Gaussian",2,0.501551689168231,3.98762489129841,0
"axis2","Laplace",2,0.501551689168231,0.999989950034929,0
"axis2","Logistic",2,0.501551689168231,0.99706245695437,0
"axis3","Gaussian",2,0.501551689168231,3.98762489129841,0
"axis3","Laplace",2,0.501551689168231,4.53181051370947,0
"axis3","Logistic",2,0.501551689168231,2.49173763875703,0
"axis1","Laplace",3,0.719117435223629,0.666666666666667,0
"axis1","Logistic",3,0.719117435223629,0.666666666666667,0
"axis2","Gaussian",3,0.719117435223629,2.78118691334197,0
"axis2","Laplace",3,0.719117435223629,0.666662200000562,0
"axis2","Logistic",3,0.719117435223629,0.66529713008009,0
"axis3","Gaussian",3,0.719117435223629,2.78118691334197,0
"axis3","Laplace",3,0.719117435223629,3.0335429120197,0
"axis3","Logistic",3,0.719117435223629,1.73265101673665,0
