"channel","var_xhat","cov_xhat_Jhat","var_Jhat","mean_xhat","mean_Jhat","Sigma_at_lambda_star","channel_display"
"Gaussian",0.230929403156127,0.461858806312254,0.923717612624507,0.501661003631435,-0.49667799273713,1.44165343560966,"Gaussian"
"Laplace",0.154608176031104,0.309216352062207,0.618432704124414,0.501045412900364,-0.497909174199273,1.17960738564996,"Laplace"
"Logistic",0.103483490697313,0.206966981394625,0.413933962789251,0.500703545211196,-0.498592909577607,0.965065498438222,"Logistic"
