"mu_target","r_laplace","r_logistic","mu_laplace_direct","alpha_laplace_direct","mu_logistic_direct","alpha_logistic_direct","mu_laplace_profile","mu_logistic_profile"
0.25,0.209557924386157,0.399226147681198,0.25,0.450261776459318,0.25,0.450261773194407,0.257819913164062,0.25000749625
0.5,0.439829168502379,0.800155378803409,0.5,0.401293674213229,0.5,0.4012936626642,0.500002965230352,0.499998052643733
1,0.965529162067346,1.61393069260992,1,0.30853754269676,1,0.30853755107604,0.999991489316739,1.00000104020169
2,2.29574892889864,3.33653573197163,2,0.158655257609677,2,0.158655256045171,1.99998398581596,1.9999991166233
