"epsilon","delta","gaussian_mu","laplace_separation","logistic_separation","gaussian_sigma","clamped_gaussian_sigma","laplace_scale","logistic_scale"
0.25,1e-05,0.0752698882538785,0.25002000026897,0.252992396716432,26.5710504744498,15.9426302846699,7.99936004259025,7.90537591626405
0.5,1e-05,0.142210558666649,0.50002000028429,0.503983313434653,14.0636533514233,8.438192010854,3.99984000412561,3.96838535460624
0.75,1e-05,0.206161152850488,0.750020000300102,0.75460880696427,9.70114870016485,5.82068922009891,2.66659555638483,2.65037988099534
1,1e-05,0.268051123211295,1.0000200003164,1.00504210561667,7.46126326963187,4.47675796177912,1.99996000016722,1.98996637934174
1.5,1e-05,0.387212130375194,1.50002000035039,1.50558673067977,5.16512744077019,3.09907646446211,1.33331555548114,1.32838577761442
2,1e-05,0.501551689168231,2.00002000038617,2.00589241131513,3.98762489129841,2.39257493477905,0.999989999906919,0.997062448971893
3,1e-05,0.719117435223629,3.00001999996261,3.00617562386717,2.78118691334197,1.66871214800518,0.66666222226016,0.665297125065229
4,1e-05,0.924930897667295,4.00002000004472,4.00627657275372,2.16232369903964,1.29739421942378,0.499997500006911,0.499216657582205
6,1e-05,1.30952583940602,6.00002000020001,6.00632675787093,1.52727035986335,0.916362215918012,0.333332222214814,0.332982217022928
