"channel","lambda","numerical_y_left","numerical_y_right","numerical_xhat_left","numerical_xhat_right","numerical_score_left","numerical_score_right","minimum_score_increment","monotone_increasing","theoretical_xhat_left","theoretical_xhat_right","theoretical_score_left","theoretical_score_right","left_score_error","right_score_error"
"Gaussian",0,-4,4,-0.948609969298003,0.948609969297995,-0.948609969298003,0.948609969297995,6.45647529323723e-05,TRUE,-1,1,-1,1,0.0513900307019967,-0.0513900307020047
"Gaussian",0.3,-4,4,-0.948609969298003,0.948609969297995,-1.8177759508768,1.21777595087679,0.000103303604691796,TRUE,-1,1,-1.9,1.3,0.0822240491231985,-0.0822240491232074
"Gaussian",0.7,-4,4,-0.948609969298003,0.948609969297995,-2.9766639263152,1.57666392631519,0.000154955407037694,TRUE,-1,1,-3.1,1.7,0.123336073684801,-0.123336073684811
"Gaussian",1.5,-4,4,-0.948609969298003,0.948609969297995,-5.29443987719199,2.29443987719198,0.000258259011729045,TRUE,-1,1,-5.5,2.5,0.205560122808007,-0.205560122808018
"Laplace",0,-4,4,-0.537491754807629,0.537491754807625,-0.537491754807629,0.537491754807625,-2.22044604925031e-16,TRUE,-0.537314720727548,0.537314720727548,-0.537314720727548,0.537314720727548,-0.000177034080080407,0.000177034080077298
"Laplace",0.3,-4,4,-0.537491754807629,0.537491754807625,-1.1599868076922,0.559986807692201,-6.66133814775094e-16,TRUE,-0.537314720727548,0.537314720727548,-1.15970355316408,0.559703553164077,-0.000283254528127719,0.000283254528123944
"Laplace",0.7,-4,4,-0.537491754807629,0.537491754807625,-1.98998021153831,0.589980211538302,-8.88178419700125e-16,TRUE,-0.537314720727548,0.537314720727548,-1.98955532974612,0.589555329746116,-0.000424881792191023,0.000424881792186138
"Laplace",1.5,-4,4,-0.537491754807629,0.537491754807625,-3.64996701923051,0.649967019230503,-1.77635683940025e-15,TRUE,-0.537314720727548,0.537314720727548,-3.64925888291019,0.649258882910193,-0.000708136320317632,0.000708136320310637
"Logistic",0,-4,4,-0.536953440792802,0.536953440792797,-0.536953440792802,0.536953440792797,4.31979586135167e-06,TRUE,-0.537314720727548,0.537314720727548,-0.537314720727548,0.537314720727548,0.000361279934745884,-0.000361279934750991
"Logistic",0.3,-4,4,-0.536953440792802,0.536953440792797,-1.15912550526848,0.559125505268475,6.9116733782959e-06,TRUE,-0.537314720727548,0.537314720727548,-1.15970355316408,0.559703553164077,0.000578047895595901,-0.000578047895601785
"Logistic",0.7,-4,4,-0.536953440792802,0.536953440792797,-1.98868825790272,0.588688257902713,1.03675100676659e-05,TRUE,-0.537314720727548,0.537314720727548,-1.98955532974612,0.589555329746116,0.000867071843396072,-0.000867071843402845
"Logistic",1.5,-4,4,-0.536953440792802,0.536953440792797,-3.6478137631712,0.647813763171188,1.72791834464059e-05,TRUE,-0.537314720727548,0.537314720727548,-3.64925888291019,0.649258882910193,0.00144511973899641,-0.00144511973900485
