"sigma","number_of_type_points","number_of_signal_points","numerical_rank","full_column_rank","smallest_singular_value","largest_singular_value","condition_number","target_relative_fit_error","transfer_l2_norm","target_l2_norm","roughness_l2_norm","amplification_mean","amplification_sd","mean_score","score_sd","rho"
0.1,360,240,37,FALSE,1.07866424411675e-39,2.04740182004258,1.8980900045677e+39,9.26399358112496e-07,0.76899559310034,0.785029213767817,0.000513020851058598,711.852382234606,363.470875904288,0.5,0.82252921102485,1e-04
0.2,360,240,24,FALSE,2.71034916390001e-39,2.45354100290773,9.0524904893702e+38,1.32715699159764e-06,0.807933723775119,0.687839070603624,0.000836273013164168,618.36412668124,277.961611348094,0.5,0.721286098565655,1e-04
0.4,360,240,17,FALSE,8.70225881643465e-39,2.77974426250267,3.19427900403627e+38,2.93448624562018e-06,1.1423086904386,0.485402359186513,0.00151312717280592,277.244462839402,154.024302562822,0.5,0.510938706274372,1e-04
0.7,360,240,14,FALSE,1.71357770174731e-38,2.8999916977443,1.6923607810648e+38,6.718580238003e-06,1.87644056890107,0.310053663218891,0.00273896344544885,107.082990816893,67.9958261724028,0.5,0.330938388425608,1e-04
1,360,240,12,FALSE,2.47282946851972e-39,2.92745912895901,1.18384998489663e+39,2.98555994912569e-05,2.68012515625636,0.220563977671451,0.00405395594256997,41.955588521834,21.7960822370069,0.5,0.240432606638399,1e-04
