"channel","mean_Jhat","sd_Jhat","variance_Jhat","half_normal_constant","squared_rate_constant","channel_display"
"Gaussian",0.000801385334835515,0.340347354565685,0.11583632175986,0.135778949759029,0.018435923197665,"Gaussian"
"Laplace",0.000489739353688723,0.255811548642839,0.0654395484190476,0.102054042568596,0.0104150276045928,"Laplace"
"Logistic",0.000212051716163738,0.182901067418061,0.0334528004626662,0.0729669689236176,0.00532417855390018,"Logistic"
