"channel_display","n","revenue_over_sqrt_n","predicted_constant","empirical_to_predicted","fitted_slope","predicted_slope","fitted_to_predicted"
"Gaussian",2000,0.13795991279781,0.135778949759029,1.016062600592,0.0188778395317491,0.018435923197665,1.02397039352714
"Laplace",2000,0.101806269271865,0.102054042568596,0.997572136384855,0.0103513218598613,0.0104150276045928,0.993883286041082
"Logistic",2000,0.0711944295534293,0.0729669689236176,0.975707646948528,0.00514863288595386,0.00532417855390018,0.96702859113962
